name,ingredients,preparation,garnish,url
Kir,90 ml Dry White Wine; 10 ml Crème de Cassis,"Pour Crème de Cassis into glass, top up with white wine.
NOTE:Kir Royal – Use Champagne instead of white wine",N/A,https://iba-world.com/iba-cocktail/kir/
Monkey Gland,45 ml Dry Gin; 45 ml Fresh Orange Juice; 1 Tablespoon Absinthe; 1 Tablespoon Grenadine Syrup,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",N/A,https://iba-world.com/iba-cocktail/monkey-gland/
Black Russian,50 ml Vodka; 20 ml Coffee Liqueur,"Pour the ingredients into the old fashioned glass filled with ice cubes.
Stir gently. strain ingredients into old fashioned glass filled with ice.
NOTE:WHITE RUSSIAN – Float fresh cream on the top and stir in slowly.",N/A,https://iba-world.com/iba-cocktail/black-russian/
Trinidad Sour,45 ml Angostura Bitters; 30 ml Orgeat Syrup; 22.5 ml Fresh Lemon Juice; 15 ml Rye Whiskey,"Pour all ingredients into a cocktail shaker, shake well with ice.
Strain into chilled cocktail glass.",N/A,https://iba-world.com/iba-cocktail/trinidad-sour/
Between the Sheets,30 ml White Rum; 30 ml Cognac; 30 ml Triple Sec; 20 ml Fresh Lemon Juice,"Add all ingredients into a cocktail shaker.
Shake with ice and strain into a chilled cocktail glass.",N/A,https://iba-world.com/iba-cocktail/between-the-sheets/
Vieux Carré,30 ml Rye Whiskey; 30 ml Cognac; 30 ml Sweet Vermouth; 1 Bar Spoon Bénédictine; 2 Dashes Peychaud’s Bitters,"Pour all ingredients into mixing glass with ice cubes.
Stir well. Strain into chilled cocktail glass.",Garnish with orange zest and maraschino cherry.,https://iba-world.com/iba-cocktail/vieux-carre/
Bloody Mary,"45 ml Vodka; 90 ml Tomato Juice; 15 ml Fresh Lemon Juice; 2 dashes Worcestershire Sauce; Tabasco, Celery Salt, Pepper (Up to taste)","Stir gently all the ingredients in a mixing glass with ice, pour into rocks glass.
NOTE:If requested served with ice, pour into highball glass.","Celery, lemon wedge (Optional).",https://iba-world.com/iba-cocktail/bloody-mary/
Mary Pickford,45 ml White Rum; 45 ml Fresh Pineapple Juice; 7.5 ml Maraschino Luxardo; 5 ml Grenadine Syrup,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",N/A,https://iba-world.com/iba-cocktail/mary-pickford/
Russian Spring Punch,25 ml Vodka; 25 ml Fresh Lemon Juice; 15 ml Creme de Cassis; 10 ml Sugar Syrup; Top up with Sparkling Wine,"Pour all ingredients into cocktail shaker except the sparkling wine, shake well with ice, strain into chilled tall tumbler glass filled with ice
and top up with sparkling wine.",Garnish with blackberries and optionally a lemon slice as well.,https://iba-world.com/iba-cocktail/russian-spring-punch/
Paradise,30 ml Gin; 20 ml Apricot Brandy; 15 ml Fresh Orange Juice,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",N/A,https://iba-world.com/iba-cocktail/paradise/
